age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
v2,State-gov,v0,Bachelors,v3,Never-married,Adm-clerical,Not-in-family,White,Male,v3,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,HS-grad,v0,Divorced,Handlers-cleaners,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,11th,v0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Wife,Black,Female,v0,v0,v0,Cuba,'<=50K'
v1,Private,v3,Masters,v3,Married-civ-spouse,Exec-managerial,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,9th,v0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,v0,v0,v0,Jamaica,'<=50K'
v3,Self-emp-not-inc,v2,HS-grad,v0,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v1,Private,v0,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v3,v0,v3,United-States,'>50K'
v2,Private,v1,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v1,Private,v3,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,v0,v0,v3,United-States,'>50K'
v1,State-gov,v1,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,v0,v0,v0,India,'>50K'
v0,Private,v1,Bachelors,v3,Never-married,Adm-clerical,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,Assoc-acdm,v2,Never-married,Sales,Not-in-family,Black,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v1,Assoc-voc,v2,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,v0,v0,v0,?,'>50K'
v1,Private,v3,7th-8th,v0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,v0,v0,v2,Mexico,'<=50K'
v0,Self-emp-not-inc,v1,HS-grad,v0,Never-married,Farming-fishing,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Never-married,Machine-op-inspct,Unmarried,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,11th,v0,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Self-emp-not-inc,v3,Masters,v3,Divorced,Exec-managerial,Unmarried,White,Female,v0,v0,v2,United-States,'>50K'
v2,Private,v2,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v3,Private,v3,HS-grad,v0,Separated,Other-service,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v1,Federal-gov,v0,9th,v0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,11th,v0,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v3,v0,United-States,'<=50K'
v3,Private,v0,HS-grad,v0,Divorced,Tech-support,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Local-gov,v2,Bachelors,v3,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v1,HS-grad,v0,Never-married,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,?,v2,Some-college,v1,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,v0,v0,v3,South,'>50K'
v2,Private,v3,HS-grad,v0,Divorced,Exec-managerial,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Private,v2,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Local-gov,v2,Assoc-acdm,v2,Never-married,Protective-serv,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Never-married,Sales,Own-child,Black,Male,v0,v0,v2,United-States,'<=50K'
v2,Private,v3,Bachelors,v3,Divorced,Exec-managerial,Own-child,White,Male,v0,v3,v0,United-States,'<=50K'
v1,Federal-gov,v0,Some-college,v1,Married-civ-spouse,Adm-clerical,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,State-gov,v3,Some-college,v1,Married-civ-spouse,Other-service,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,11th,v0,Never-married,Machine-op-inspct,Unmarried,White,Male,v0,v0,v0,Puerto-Rico,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Machine-op-inspct,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Pool,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v0,?,'>50K'
v2,Self-emp-not-inc,v3,Assoc-acdm,v2,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,9th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v2,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,Bachelors,v3,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
